student alone: acc 0.847  (153 ms, $0.0002)
dgemma alone: acc 0.590  (154 ms, $0.0002)
  tau    escalated   acc   mean_ms   mean_$
  0.00       0.00   0.847       153   0.0002
  0.30       0.00   0.843       154   0.0002
  0.40       0.02   0.840       156   0.0002
  0.50       0.05   0.830       161   0.0002
  0.60       0.11   0.820       169   0.0002
  0.70       0.14   0.813       175   0.0002
  0.80       0.24   0.770       189   0.0002
  0.90       0.32   0.737       203   0.0003
  1.01       1.00   0.590       307   0.0004
  oracle (escalate only errors, 0.15): acc 0.870
