student alone: acc 0.847  (153 ms, $0.0002)
gemini38high alone: acc 0.783  (3000 ms, $0.0070)
  tau    escalated   acc   mean_ms   mean_$
  0.00       0.00   0.847       153   0.0002
  0.30       0.00   0.843       163   0.0002
  0.40       0.02   0.843       213   0.0003
  0.50       0.05   0.850       303   0.0006
  0.60       0.11   0.847       473   0.0009
  0.70       0.14   0.837       573   0.0012
  0.80       0.24   0.827       863   0.0019
  0.90       0.32   0.807      1123   0.0025
  1.01       1.00   0.783      3153   0.0072
  oracle (escalate only errors, 0.15): acc 0.897
