student alone: acc 0.847  (153 ms, $0.0002)
opus5think alone: acc 0.823  (8000 ms, $0.0160)
  tau    escalated   acc   mean_ms   mean_$
  0.00       0.00   0.847       153   0.0002
  0.30       0.00   0.843       180   0.0003
  0.40       0.02   0.847       313   0.0005
  0.50       0.05   0.850       553   0.0010
  0.60       0.11   0.850      1006   0.0019
  0.70       0.14   0.850      1273   0.0024
  0.80       0.24   0.850      2046   0.0040
  0.90       0.32   0.843      2740   0.0054
  1.01       1.00   0.823      8153   0.0162
  oracle (escalate only errors, 0.15): acc 0.903
