student alone: acc 0.847  (153 ms, $0.0002)
qwen32b alone: acc 0.693  (250 ms, $0.0010)
  tau    escalated   acc   mean_ms   mean_$
  0.00       0.00   0.847       153   0.0002
  0.30       0.00   0.843       154   0.0002
  0.40       0.02   0.840       158   0.0002
  0.50       0.05   0.840       166   0.0003
  0.60       0.11   0.833       180   0.0003
  0.70       0.14   0.823       188   0.0003
  0.80       0.24   0.793       212   0.0004
  0.90       0.32   0.767       234   0.0005
  1.01       1.00   0.693       403   0.0012
  oracle (escalate only errors, 0.15): acc 0.867
